Continent_Name,Continent_Code,Country_Name,Country_Code,Country_Number
North America,NA,"Puerto Rico, Commonwealth of",PRI,630
Asia,AS,"Qatar, State of",QAT,634
Africa,AF,Reunion,REU,638
Europe,EU,Romania,ROU,642
Europe,EU,Russian Federation,RUS,643
Asia,AS,Russian Federation,RUS,643
Africa,AF,"Rwanda, Republic of",RWA,646
North America,NA,Saint Barthelemy,BLM,652
Africa,AF,Saint Helena,SHN,654
North America,NA,"Saint Kitts and Nevis, Federation of",KNA,659
North America,NA,Anguilla,AIA,660
North America,NA,Saint Lucia,LCA,662
North America,NA,Saint Martin,MAF,663
North America,NA,Saint Pierre and Miquelon,SPM,666
North America,NA,Saint Vincent and the Grenadines,VCT,670
Europe,EU,"San Marino, Republic of",SMR,674
Africa,AF,"Sao Tome and Principe, Democratic Republic of",STP,678
Asia,AS,"Saudi Arabia, Kingdom of",SAU,682
Africa,AF,"Senegal, Republic of",SEN,686
Europe,EU,"Serbia, Republic of",SRB,688
Africa,AF,"Seychelles, Republic of",SYC,690
Africa,AF,"Sierra Leone, Republic of",SLE,694
Asia,AS,"Singapore, Republic of",SGP,702
Europe,EU,Slovakia (Slovak Republic),SVK,703
Asia,AS,"Vietnam, Socialist Republic of",VNM,704
Europe,EU,"Slovenia, Republic of",SVN,705
Africa,AF,"Somalia, Somali Republic",SOM,706
Africa,AF,"South Africa, Republic of",ZAF,710
Africa,AF,"Zimbabwe, Republic of",ZWE,716
Europe,EU,"Spain, Kingdom of",ESP,724
Africa,AF,South Sudan,SSD,728
Africa,AF,Western Sahara,ESH,732
Africa,AF,"Sudan, Republic of",SDN,736
South America,SA,"Suriname, Republic of",SUR,740
Europe,EU,Svalbard & Jan Mayen Islands,SJM,744
Africa,AF,"Swaziland, Kingdom of",SWZ,748
Europe,EU,"Sweden, Kingdom of",SWE,752
Europe,EU,"Switzerland, Swiss Confederation",CHE,756
Asia,AS,Syrian Arab Republic,SYR,760
Asia,AS,"Tajikistan, Republic of",TJK,762
Asia,AS,"Thailand, Kingdom of",THA,764
Africa,AF,"Togo, Togolese Republic",TGO,768
Oceania,OC,Tokelau,TKL,772
Oceania,OC,"Tonga, Kingdom of",TON,776
North America,NA,"Trinidad and Tobago, Republic of",TTO,780
Asia,AS,United Arab Emirates,ARE,784
Africa,AF,"Tunisia, Tunisian Republic",TUN,788
Europe,EU,"Turkey, Republic of",TUR,792
Asia,AS,"Turkey, Republic of",TUR,792
Asia,AS,Turkmenistan,TKM,795
North America,NA,Turks and Caicos Islands,TCA,796
Oceania,OC,Tuvalu,TUV,798
Africa,AF,"Uganda, Republic of",UGA,800
Europe,EU,Ukraine,UKR,804
Europe,EU,"Macedonia, The Former Yugoslav Republic of",MKD,807
Africa,AF,"Egypt, Arab Republic of",EGY,818
Europe,EU,United Kingdom of Great Britain & Northern Ireland,GBR,826
Europe,EU,"Guernsey, Bailiwick of",GGY,831
Europe,EU,"Jersey, Bailiwick of",JEY,832
Europe,EU,Isle of Man,IMN,833
Africa,AF,"Tanzania, United Republic of",TZA,834
North America,NA,United States of America,USA,840
North America,NA,United States Virgin Islands,VIR,850
Africa,AF,Burkina Faso,BFA,854
South America,SA,"Uruguay, Eastern Republic of",URY,858
Asia,AS,"Uzbekistan, Republic of",UZB,860
South America,SA,"Venezuela, Bolivarian Republic of",VEN,862
Oceania,OC,Wallis and Futuna,WLF,876
Oceania,OC,"Samoa, Independent State of",WSM,882
Asia,AS,Yemen,YEM,887
Africa,AF,"Zambia, Republic of",ZMB,894
Oceania,OC,Disputed Territory,,
Asia,AS,Iraq-Saudi Arabia Neutral Zone,,
Asia,AS,United Nations Neutral Zone,,
Asia,AS,Spratly Islands,,
